0000(沈阳-北京) 120000421606
D24(长春-北京) 1100000D240L
G24(上海虹桥-北京南) 5l00000G2400
Z24(深圳-武昌) 6500000Z2409
D25(北京-齐齐哈尔南) 2400000D2522
G25(北京西-西安北) 2400000G2500
Z25(武昌-上海南) 3900000Z2500
T25(上海南-南宁) 5500000T2521
D26(齐齐哈尔南-北京) 0400000D2602
G26(西安北-北京西) 4f00000G2602
Z26(上海南-武昌) 5500000Z2710
T26(南宁-上海南) 7100000T2605
D27(北京-哈尔滨西) 2400000D270S
G27(北京南-福州) 2400000G2701
K27(北京-丹东) 2400000K270V
Z27(上海南-武昌) 5500000Z2710
D28(哈尔滨西-北京) 0h00000D280G
K28(丹东-北京) 1200000K280E
Z28(武昌-上海南) 3900000Z2500
G28(福州-北京南) 5800000G2802
D29(北京-齐齐哈尔南) 2400000D290U
G29(北京南-合肥南) 2400000G290B
Z29(北京-扬州) 2400000Z290B
K29(洛阳-福州) 4000000K320D
D30(齐齐哈尔南-北京) 0400000D3004
K30(福州-洛阳) 5800000K300C
Z30(扬州-北京) 5f00000Z3060
G30(合肥南-北京南) 5i00000G3011
D31(大连-北京) 1300000D310C
T31(北京-杭州) 2400000T310P
Z31(武昌-宁波) 3900000Z3101
K31(福州-洛阳) 5800000K300C
D32(北京-大连) 2400000D330K
K32(洛阳-福州) 4000000K320D
T32(杭州-北京) 5600000T3212
Z32(宁波-武昌) 5e00000Z3210
D33(北京-大连) 2400000D330K
G33(北京南-南昌西) 2400000G330O
K33(苏州-深圳) 5500000K3602
Z33(宁波-武昌) 5e00000Z3210
D34(大连-北京) 1300000D310C
Z34(武昌-宁波) 3900000Z3101
G34(杭州东-北京南) 5600000G3471
K34(深圳-苏州) 6500000K3401
D35(大连北-北京) 1g00000D3506
G35(北京南-杭州东) 2400000G350G
Z35(北京西-广州) 2400000Z3501
K35(深圳-苏州) 6500000K3401
D36(北京-大连北) 2400000D370C
K36(苏州-深圳) 5500000K3602
G36(杭州东-北京南) 5600000G3640
Z36(广州-北京西) 6300000Z3600
D37(北京-大连北) 2400000D370C
G37(北京南-杭州东) 2400000G370F
Z37(北京西-武昌) 2400000Z3707
D38(大连北-北京) 1g00000D3506
Z38(武昌-北京西) 3900000Z3801
G38(南昌西-北京南) 5u00000G380B
D39(大连北-北京) 1g00000D3906
G39(北京南-杭州东) 2400000G3908
K39(北京-海拉尔) 2400000K392K
T39(北京-齐齐哈尔) 2400000T390C
Z39(乌鲁木齐-上海) 9300000Z4204
T40(齐齐哈尔-北京) 0400000T4008
K40(海拉尔-北京) 0500000K4001
D40(北京-大连北) 2400000D410H
Z40(上海-乌鲁木齐) 5500000Z4061
G40(绍兴北-北京南) 5t00000G4001
D41(北京-大连北) 2400000D410H
G41(北京南-杭州东) 2400000G410G
K41(北京-敦煌) 2400000K4102
T41(北京西-西安) 2400000T410O
Z41(上海-乌鲁木齐) 5500000Z4061
D42(大连北-北京) 1g00000D3906
T42(西安-北京西) 4100000T420G
G42(杭州东-北京南) 5600000G4261
K42(敦煌-北京) 8b00000K4301
Z42(乌鲁木齐-上海) 9300000Z4204
D43(大连北-北京) 1g00000D430A
G43(北京南-杭州东) 2400000G4307
Z43(北京西-西安) 2400000Z4303
K43(敦煌-北京) 8b00000K4301
D44(北京-大连北) 2400000D450C
K44(北京-敦煌) 2400000K4102
Z44(西安-北京西) 4100000Z4403
G44(杭州东-北京南) 5600000G4495
D45(北京-大连北) 2400000D450C
G45(北京南-江山) 2400000G4503
K45(北京-福州) 2400000K4514
Z45(武昌-杭州) 3900000Z4540
D46(大连北-北京) 1g00000D430A
G46(江山-北京南) 5600000G4603
Z46(杭州-武昌) 5600000Z4770
K46(福州-北京) 5800000K460B
K47(齐齐哈尔-杭州) 0400000K5005
G47(大连北-哈尔滨西) 1g00000G4702
T47(北京-齐齐哈尔) 2400000T472C
Z47(杭州-武昌) 5600000Z4770
T48(齐齐哈尔-北京) 0400000T4805
G48(哈尔滨西-大连北) 0h00000G4802
Z48(武昌-杭州) 3900000Z4540
K48(杭州-齐齐哈尔) 5600000K4810
G49(大连北-哈尔滨西) 1g00000G4902
T49(北京西-恩施) 2400000T490B
Z49(北京西-成都) 2400000Z490D
K49(杭州-齐齐哈尔) 5600000K4810
K50(齐齐哈尔-杭州) 0400000K5005
G50(哈尔滨西-大连北) 0h00000G5002
T50(恩施-北京西) 4200000T5006
Z50(成都-北京西) 7600000Z5003
D51(北京-沈阳北) 2400000D510P
K51(北京-日照) 2400000K510Z
Z51(北京-南通) 2400000Z510C
G51(天津西-宁波) 2500000G510B
D52(沈阳北-北京) 1200000D5206
K52(日照-北京) 4700000K5205
G52(宁波-天津西) 5e00000G5231
Z52(南通-北京) 5f00000Z5210
K53(北京-沈阳北) 2400000K530G
Z53(北京西-昆明) 2400000Z530N
G53(天津西-杭州东) 2500000G530A
K54(沈阳北-北京) 1200000K540B
G54(杭州东-天津西) 5600000G5443
Z54(昆明-北京西) 8000000Z5402
K55(大连-包头) 1300000K5504
G55(北京南-福州) 2400000G5509
Z55(北京西-兰州) 2400000Z550H
T55(天津-宝鸡) 2500000T5807
K56(包头-大连) 3300000K5604
T56(宝鸡-天津) 4100000T560D
G56(福州-北京南) 5800000G5609
Z56(兰州-北京西) 8500000Z5663
G57(北京南-宁波) 2400000G570A
K57(包头-大连) 3300000K5604
T57(宝鸡-天津) 4100000T560D
Z57(福州-北京西) 5800000Z600B
K58(大连-包头) 1300000K5504
Z58(北京西-福州) 2400000Z590I
T58(天津-宝鸡) 2500000T5807
G58(宁波-北京南) 5e00000G5831
G59(北京南-宁波) 2400000G5907
Z59(北京西-福州) 2400000Z590I
Z60(福州-北京西) 5800000Z600B
G60(宁波-北京南) 5e00000G6021
Z61(北京-长春) 2400000Z610F
G61(济南西-南昌西) 4p00000G6108
Z62(长春-北京) 1100000Z6208
G62(南昌西-济南西) 5u00000G6207
T63(北京-合肥) 2400000T630S
Z63(北京-长春) 2400000Z6307
G63(济南-温州南) 4700000G6308
Z64(长春-北京) 1100000Z6402
T64(合肥-北京) 5300000T6490
G64(温州南-济南西) 5j00000G641D
G65(北京西-广州南) 2400000G650C
T65(北京-南京) 2400000T650I
Z65(北京西-南昌) 2400000Z650F
T66(南京-北京) 5400000T66D0
Z66(南昌-北京西) 5700000Z660E
G66(广州南-北京西) 6c00000G6605
G67(北京西-广州南) 2400000G670A
Z67(北京西-南昌) 2400000Z670J
K67(青岛-福州) 4900000K7005
Z68(南昌-北京西) 5700000Z680G
K68(福州-青岛) 5800000K680C
G68(广州南-北京西) 6c00000G680B
G69(北京西-广州南) 2400000G6906
Z69(北京西-乌鲁木齐) 2400000Z6908
K69(福州-青岛) 5800000K680C
K70(青岛-福州) 4900000K7005
G70(广州南-北京西) 6c00000G7009
Z70(乌鲁木齐-北京西) 9300000Z7002
G71(北京西-福田) 2400000G7100
Z71(北京-三明北) 2400000Z7104
K71(上海南-重庆北) 5500000K7121
Z72(三明北-北京) 5u00000Z7202
G72(福田-北京西) 6i00000G7210
K72(重庆北-上海南) 7700000K7305
D73(北京-吉林) 2400000D730E
G73(郑州东-深圳北) 3800000G7308
K73(重庆北-上海南) 7700000K7305
D74(吉林-北京) 1800000D7409
K74(上海南-重庆北) 5500000K7121
G74(深圳北-郑州东) 6i00000G7406
K75(长春-宁波) 1100000K750A
Z75(北京西-兰州) 2400000Z7503
G75(安阳东-深圳北) 3800000G7505
K76(宁波-长春) 5e00000K76B1
G76(深圳北-郑州东) 6i00000G7606
Z76(兰州-北京西) 8500000Z7600
Z77(北京西-贵阳) 2400000Z770D
G77(武汉-深圳北) 4e00000G7703
T77(上海南-桂林北) 5500000T7781
K77(宁波-长春) 5e00000K76B1
K78(长春-宁波) 1100000K750A
G78(深圳北-武汉) 6i00000G7806
T78(桂林北-上海南) 7100000T780C
Z78(贵阳-北京西) 7800000Z7802
G79(北京西-福田) 2400000G7920
Z79(北京-大连) 2400000Z7909
K79(上海南-昆明) 5500000K79B4
T79(南宁-上海南) 7100000T820A
Z80(大连-北京) 1300000Z8101
T80(上海南-南宁) 5500000T8152
G80(福田-北京西) 6i00000G8008
K80(昆明-上海南) 8000000K800I
Z81(大连-北京) 1300000Z8101
G81(北京西-贵阳北) 2400000G8106
K81(西安-广州) 4100000K840I
T81(上海南-南宁) 5500000T8152
D81(杭州东-九江) 5600000D8130
Z82(北京-大连) 2400000Z7909
D82(九江-杭州东) 5700000D8305
K82(广州-西安) 6300000K820H
T82(南宁-上海南) 7100000T820A
G82(贵阳北-北京西) 7800000G8200
G83(北京西-长沙南) 2400000G830K
D83(九江-杭州东) 5700000D8305
K83(广州-西安) 6300000K820H
K84(西安-广州) 4100000K840I
D84(杭州东-九江) 5600000D8130
G84(长沙南-北京西) 6c00000G8405
G85(上海虹桥-广州南) 5l00000G8523
K85(广州-九江) 6300000K850J
K86(九江-广州) 5700000K870B
G86(广州南-上海虹桥) 6c00000G8608
G87(北京西-西安北) 2400000G8706
K87(九江-广州) 5700000K870B
G88(西安北-北京西) 4f00000G8807
K88(广州-九江) 6300000K850J
G89(北京西-郑州) 2400000G890A
K89(北京西-呼和浩特) 2400000K890J
Z89(石家庄-广州) 2600000Z8903
K90(呼和浩特-北京西) 3300000K900C
G90(郑州-北京西) 3800000G9001
Z90(广州-石家庄) 6300000Z9001
G91(北京西-太原南) 2400000G9105
T91(北京-赣州) 2400000T9105
Z91(西安-上海) 4100000Z940C
K91(泰州-深圳东) 5f00000K94B0
G92(太原南-北京西) 2700000G9214
Z92(上海-西安) 5500000Z9230
K92(深圳东-泰州) 6500000K9208
G93(郑州东-广州南) 3800000G9310
Z93(上海-西安) 5500000Z9230
K93(深圳东-泰州) 6500000K9208
Z94(西安-上海) 4100000Z940C
K94(泰州-深圳东) 5f00000K94B0
G94(广州南-郑州东) 6c00000G9408
K95(北京-抚顺北) 2400000K9504
Z95(北京西-重庆北) 2400000Z9501
T95(汉口-深圳) 3900000T9560
G95(西安北-广州南) 4f00000G980B
K96(抚顺北-北京) 1200000K960R
T96(深圳-汉口) 6500000T9608
G96(广州南-西安北) 6c00000G960B
Z96(重庆北-北京西) 7700000Z9601
Z97(北京西-广州东) 2400000Z9703
G97(广州南-西安北) 6c00000G960B
G98(西安北-广州南) 4f00000G980B
P98(九龙-北京西) 6500000P9803
Z98(九龙-北京西) 6500000Z9805
P99(上海-九龙) 5500000P9910
Z99(上海-九龙) 5500000Z9930
Z100(广州东-上海) 650000Z10001
D101(北京-哈尔滨西) 240000D1010S
G101(北京南-上海虹桥) 240000G1010C
K101(北京-温州) 240000K10108
T101(上海南-深圳) 550000T10140
Z101(厦门-长春) 580000Z10409
D102(哈尔滨西-北京) 0h0000D1020E
Z102(长春-厦门) 110000Z10206
K102(温州-北京) 5a0000K102B1
G102(上海虹桥-北京南) 5l0000G10261
T102(深圳-上海南) 650000T1020A
Z103(长春-厦门) 110000Z10206
Z104(厦门-长春) 580000Z10409
G104(上海虹桥-北京南) 5l0000G10461
G105(北京南-上海虹桥) 240000G1050H
K105(北京西-深圳) 240000K1051E
Z105(济南-乌鲁木齐) 470000Z10504
G106(上海虹桥-北京南) 5l0000G10651
K106(深圳-北京西) 650000K1060S
Z106(乌鲁木齐-济南) 930000Z10602
G107(北京南-上海虹桥) 240000G1070E
Z107(北京西-深圳) 240000Z10709
G108(上海虹桥-北京南) 5l0000G10861
Z108(深圳-北京西) 650000Z10804
G109(北京南-上海虹桥) 240000G1091E
T109(北京-上海) 240000T1090S
K109(武昌-昆明) 390000K10903
T110(上海-北京) 550000T11061
G110(上海虹桥-北京南) 5l0000G11091
K110(昆明-武昌) 800000K1100B
Z111(哈尔滨-海口) 010000Z11403
D111(珲春-齐齐哈尔) 1c0000D11404
G111(北京南-上海虹桥) 240000G1110R
K111(上海南-贵阳) 550000K111D1
T111(兰州-杭州) 850000T11482
D112(齐齐哈尔-珲春) 040000D11205
T112(杭州-兰州) 560000T11251
G112(上海虹桥-北京南) 5l0000G11291
Z112(海口-哈尔滨) 6b0000Z11203
K112(贵阳-上海南) 780000K11207
D113(齐齐哈尔-珲春) 040000D11205
G113(北京南-上海虹桥) 240000G1130F
T113(杭州-兰州) 560000T11251
Z113(海口-哈尔滨) 6b0000Z11203
K113(成都-昆明) 760000K1130B
Z114(哈尔滨-海口) 010000Z11403
D114(珲春-齐齐哈尔) 1c0000D11404
G114(上海虹桥-北京南) 5l0000G11441
K114(昆明-成都) 800000K1140P
T114(兰州-杭州) 850000T11482
D115(延吉西-哈尔滨西) 1c0000D11801
G115(北京南-上海虹桥) 240000G1150T
K115(九江-深圳) 570000K1150C
T115(兰州-上海) 850000T11850
D116(哈尔滨西-延吉西) 0h0000D11601
T116(上海-兰州) 550000T11660
G116(上海虹桥-北京南) 5l0000G11661
K116(深圳-九江) 650000K1160F
D117(哈尔滨西-延吉西) 0h0000D11601
G117(北京南-上海虹桥) 240000G1170L
K117(北京西-攀枝花) 240000K1171B
Z117(北京-吉林) 240000Z1170B
T117(上海-兰州) 550000T11660
Z118(吉林-北京) 180000Z11804
D118(延吉西-哈尔滨西) 1c0000D11801
G118(上海虹桥-北京南) 5l0000G11831
K118(攀枝花-北京西) 760000K1180A
T118(兰州-上海) 850000T11850
G119(北京南-上海虹桥) 240000G1190D
G121(北京南-上海虹桥) 240000G1210H
K121(十堰-上海南) 420000K1240G
T121(广州-长春) 630000T1240C
Z121(成都-广州) 760000Z12406
T122(长春-广州) 110000T1220A
K122(上海南-十堰) 550000K123C1
G122(上海虹桥-北京南) 5l0000G12270
Z122(广州-成都) 630000Z12207
T123(长春-广州) 110000T1220A
K123(上海南-十堰) 550000K123C1
Z123(广州-成都) 630000Z12207
K124(十堰-上海南) 420000K1240G
T124(广州-长春) 630000T1240C
Z124(成都-广州) 760000Z12406
K125(长春-西安) 110000K12805
G125(北京南-上海虹桥) 240000G12510
T125(东莞东-成都) 670000T1280F
Z125(兰州-厦门) 850000Z12811
K126(西安-长春) 410000K1260O
Z126(厦门-兰州) 580000Z12604
G126(上海虹桥-北京南) 5l0000G126A2
T126(成都-东莞东) 760000T12608
G127(北京南-上海虹桥) 240000G1271A
K127(西安-长春) 410000K1260O
Z127(厦门-兰州) 580000Z12604
T127(成都-东莞东) 760000T12608
K128(长春-西安) 110000K12805
T128(东莞东-成都) 670000T1280F
Z128(兰州-厦门) 850000Z12811
T129(大连-齐齐哈尔) 130000T1290B
G129(北京南-上海虹桥) 240000G1290N
T130(齐齐哈尔-大连) 040000T1300E
G130(上海虹桥-北京南) 5l0000G13070
T131(大连-上海) 130000T1310T
G131(北京南-上海虹桥) 240000G1310I
K131(深圳西-兰州) 690000K1340F
T132(上海-大连) 550000T132A0
G132(上海虹桥-北京南) 5l0000G132B3
K132(兰州-深圳西) 850000K13201
G133(北京南-上海虹桥) 240000G1330F
Z133(北京西-井冈山) 240000Z1330G
T133(上海-大连) 550000T132A0
K133(兰州-深圳西) 850000K13201
T134(大连-上海) 130000T1310T
Z134(井冈山-北京西) 570000Z1340F
G134(上海虹桥-北京南) 5l0000G134A1
K134(深圳西-兰州) 690000K1340F
G135(北京南-上海虹桥) 240000G1350B
T135(济南-宁波) 470000T13501
Z135(广州-乌鲁木齐) 630000Z13804
T136(宁波-济南) 5e0000T13611
Z136(乌鲁木齐-广州) 930000Z13601
G137(北京南-上海虹桥) 240000G1370H
Z137(乌鲁木齐-广州) 930000Z13601
G138(上海虹桥-北京南) 5l0000G13850
Z138(广州-乌鲁木齐) 630000Z13804
G139(北京南-上海虹桥) 240000G1390O
Z139(北京-南通) 240000Z13907
Z140(南通-北京) 5f0000Z14020
G140(上海虹桥-北京南) 5l0000G14041
G141(北京南-上海虹桥) 240000G1410E
K141(成都东-南宁) 760000K14403
G142(上海虹桥-北京南) 5l0000G14251
K142(南宁-成都东) 710000K1420B
G143(北京南-上海虹桥) 240000G1430K
K143(南宁-成都东) 710000K1420B
G144(上海虹桥-北京南) 5l0000G144L0
K144(成都东-南宁) 760000K14403
G145(北京南-上海虹桥) 240000G1450K
T145(北京-南昌) 240000T1451A
Z145(深圳东-郑州) 650000Z14802
K145(成都-昆明) 760000K14508
Z146(郑州-深圳东) 380000Z14605
T146(南昌-北京) 570000T1470B
G146(上海虹桥-北京南) 5l0000G146E0
K146(昆明-成都) 800000K1460T
G147(北京南-上海虹桥) 240000G1470A
K147(北京西-阜阳) 240000K1470B
Z147(郑州-深圳东) 380000Z14605
T147(南昌-北京) 570000T1470B
T148(北京-南昌) 240000T1451A
K148(阜阳-北京西) 530000K14833
G148(上海虹桥-北京南) 5l0000G148C0
Z148(深圳东-郑州) 650000Z14802
G149(北京南-上海虹桥) 240000G1490E
Z149(北京西-贵阳) 240000Z14906
K149(上海南-湛江) 550000K14907
G150(上海虹桥-北京南) 5l0000G15050
K150(湛江-上海南) 710000K1500J
Z150(贵阳-北京西) 780000Z15003
Z151(北京西-西宁) 240000Z15106
K151(郑州-上海) 380000K1540C
T151(泰州-广州) 5f0000T15400
K152(上海-郑州) 550000K15203
G152(上海虹桥-北京南) 5l0000G152D0
T152(广州-泰州) 630000T15200
Z152(西宁-北京西) 880000Z15202
G153(北京南-上海虹桥) 240000G1530C
K153(上海-郑州) 550000K15203
T153(广州-泰州) 630000T15200
K154(郑州-上海) 380000K1540C
T154(泰州-广州) 5f0000T15400
G154(上海虹桥-北京南) 5l0000G15462
Z155(哈尔滨-泰州) 010000Z15800
K155(南京-昆明) 540000K15587
Z156(泰州-哈尔滨) 5f0000Z15710
K156(昆明-南京) 800000K1560E
G157(北京南-上海虹桥) 240000G1570I
K157(北京西-湛江) 240000K15715
Z157(泰州-哈尔滨) 5f0000Z15710
Z158(哈尔滨-泰州) 010000Z15800
G158(上海虹桥-北京南) 5l0000G158B2
K158(湛江-北京西) 710000K1580Q
K159(重庆-昆明) 770000K15904
G160(上海虹桥-北京南) 5l0000G160Q0
K160(昆明-重庆) 800000K1600F
G161(北京南-安庆) 240000G16106
Z161(北京西-昆明) 240000Z1610Z
G162(安庆-北京南) 590000G16210
Z162(昆明-北京西) 800000Z16203
G163(北京南-苍南) 240000G1630E
Z163(拉萨-上海) 880000Z16603
Z164(上海-拉萨) 550000Z16403
G164(苍南-北京南) 5j0000G16421
G165(北京南-杭州东) 240000G16508
K165(西安-昆明) 410000K1650L
Z165(上海-拉萨) 550000Z16403
G166(杭州东-北京南) 560000G16620
K166(昆明-西安) 800000K1660J
Z166(拉萨-上海) 880000Z16603
G167(北京南-温州南) 240000G16708
T167(北京西-南昌) 240000T16711
Z167(青岛-广州东) 490000Z17002
K167(重庆-昆明) 770000K16703
T168(南昌-北京西) 570000T1680F
G168(温州南-北京南) 5j0000G16820
Z168(广州东-青岛) 650000Z16801
K168(昆明-重庆) 800000K1680F
K169(西安-阿克苏) 410000K1690N
T169(上海南-广州) 550000T16931
Z169(广州东-青岛) 650000Z16801
Z170(青岛-广州东) 490000Z17002
T170(广州-上海南) 630000T1700L
K170(阿克苏-西安) 940000K17020
Z171(哈尔滨-上海) 010000Z17405
G171(天津西-青岛) 250000G1710C
K171(日照-上海) 470000K17403
T171(南昌-广州东) 570000T1710A
G172(青岛-天津西) 490000G17207
K172(上海-日照) 550000K17204
Z172(上海-哈尔滨) 550000Z17221
T172(广州东-南昌) 650000T17206
G173(天津西-青岛) 250000G17305
K173(上海-日照) 550000K17204
Z173(上海-哈尔滨) 550000Z17221
Z174(哈尔滨-上海) 010000Z17405
K174(日照-上海) 470000K17403
G174(青岛-天津西) 490000G17402
Z175(哈尔滨-杭州) 010000Z17804
G175(北京南-青岛) 240000G17502
T175(北京西-西宁) 240000T1750B
K175(商丘-乌鲁木齐) 380000K1750H
G176(潍坊-北京南) 490000G17602
Z176(杭州-哈尔滨) 560000Z17604
T176(西宁-北京西) 880000T17606
K176(乌鲁木齐-郑州) 930000K17602
G177(北京南-青岛) 240000G17701
K177(郑州-西宁) 380000K17702
Z177(杭州-哈尔滨) 560000Z17604
Z178(哈尔滨-杭州) 010000Z17804
G178(青岛-北京南) 490000G17802
K178(西宁-郑州) 880000K17802
G179(北京南-青岛) 240000G17908
K179(北京西-郑州) 240000K1790M
Z179(北京-乌鲁木齐) 240000Z17904
T179(济南-广州) 470000T1790C
K180(郑州-北京西) 380000K18004
G180(青岛-北京南) 490000G18001
T180(广州-济南) 630000T18020
Z180(乌鲁木齐-北京) 930000Z18002
T181(哈尔滨-汉口) 010000T1840A
G181(北京南-青岛) 240000G1810B
Z181(临河-深圳东) 330000Z18430
T182(汉口-哈尔滨西) 390000T18203
G182(青岛-北京南) 490000G18204
Z182(深圳东-临河) 650000Z18210
G183(北京南-青岛) 240000G1830A
K183(北京-南阳) 240000K18321
T183(汉口-哈尔滨西) 390000T18203
Z183(深圳东-临河) 650000Z18210
T184(哈尔滨-汉口) 010000T1840A
Z184(临河-深圳东) 330000Z18430
K184(南阳-北京) 400000K1840B
G184(青岛-北京南) 490000G18406
Z185(沈阳北-深圳) 120000Z18804
G185(北京南-青岛) 240000G18509
G186(青岛-北京南) 490000G1860C
Z186(深圳-沈阳北) 650000Z18603
K187(沈阳北-上海) 120000K19011
G187(北京南-青岛) 240000G1870C
Z187(深圳-沈阳北) 650000Z18603
Z188(沈阳北-深圳) 120000Z18804
G188(青岛-北京南) 490000G18808
K188(上海-沈阳北) 550000K188B2
G189(北京南-青岛) 240000G1890D
Z189(郑州-广州) 380000Z18902
K189(上海-沈阳北) 550000K188B2
K190(沈阳北-上海) 120000K19011
G190(青岛-北京南) 490000G19006
Z190(广州-郑州) 630000Z19000
Z191(沈阳北-太原) 120000Z19405
G191(北京南-青岛) 240000G1910A
K191(成都-广州) 760000K19403
T191(乌鲁木齐-汉口) 930000T19404
Z192(太原-沈阳北) 270000Z19204
T192(汉口-乌鲁木齐) 390000T19208
G192(青岛-北京南) 490000G19208
K192(广州-成都) 630000K1920P
G193(北京南-青岛) 240000G1930A
Z193(太原-沈阳北) 270000Z19204
T193(汉口-乌鲁木齐) 390000T19208
K193(广州-成都) 630000K1920P
Z194(沈阳北-太原) 120000Z19405
G194(青岛-北京南) 490000G1940G
K194(成都-广州) 760000K19403
T194(乌鲁木齐-汉口) 930000T19404
G195(北京南-青岛) 240000G1950G
Z195(太原-上海) 270000Z19802
K195(呼和浩特东-成都东) 330000K19502
G196(青岛-北京南) 490000G1960B
Z196(上海-太原) 550000Z19602
K196(成都东-呼和浩特东) 760000K19602
G197(北京南-青岛) 240000G1970A
T197(郑州-乌鲁木齐) 380000T197E0
Z197(上海-太原) 550000Z19602
Z198(太原-上海) 270000Z19802
G198(青岛-北京南) 490000G19805
T198(乌鲁木齐-郑州) 930000T19803
G199(北京南-青岛) 240000G19904
G200(青岛-北京南) 490000G20005
G201(北京南-南京南) 240000G2010I
Z201(北京西-三亚) 240000Z2010D
D201(南宁东-广州南) 710000D20100
K201(重庆北-广州) 770000K20104
G202(南京南-北京南) 5l0000G20280
K202(广州-重庆北) 630000K20209
Z202(三亚-北京西) 6b0000Z20202
D202(广州南-南宁东) 6c0000D20203
G203(北京南-南京南) 240000G2030B
Z203(北京-哈尔滨) 240000Z2030C
K203(广州-重庆北) 630000K20209
D203(南宁东-广州南) 710000D20301
T203(伊宁-上海) 950000T20603
Z204(大庆西-北京) 040000Z20400
T204(上海-伊宁) 550000T20432
G204(南京南-北京南) 5l0000G204A0
D204(广州南-南宁东) 6c0000D20403
K204(重庆北-广州) 770000K20104
G205(北京南-南京南) 240000G2050B
K205(青岛-成都) 490000K2080B
T205(上海-伊宁) 550000T20432
Z205(长沙-天津) 620000Z20802
D205(南宁东-广州南) 710000D20500
Z206(天津-长沙) 250000Z20602
G206(南京南-北京南) 5l0000G20670
D206(广州南-南宁东) 6c0000D20601
K206(成都-青岛) 760000K20607
T206(伊宁-上海) 950000T20603
G207(北京南-徐州东) 240000G20702
Z207(天津-长沙) 250000Z20602
D207(南宁东-广州南) 710000D20700
K207(成都-青岛) 760000K20607
K208(青岛-成都) 490000K2080B
G208(徐州东-北京南) 5l0000G20820
Z208(长沙-天津) 620000Z20802
D208(广州南-南宁东) 6c0000D20801
K209(宁波-广州) 5e0000K21222
K210(广州-宁波) 630000K2100E
G211(天津西-上海虹桥) 250000G2110G
T211(上海南-深圳) 550000T21142
K211(广州-宁波) 630000K2100E
D211(贵阳北-广州南) 780000D21110
K212(宁波-广州) 5e0000K21222
G212(上海虹桥-天津西) 5l0000G21230
T212(深圳-上海南) 650000T2120F
